,Email No.,the,to,ect,and,for,of,a,you,hou
0,Email 1,0,0,1,0,0,0,2,0,0
1,Email 2,8,13,24,6,6,2,102,1,27
2,Email 3,0,0,1,0,0,0,8,0,0
3,Email 4,0,5,22,0,5,1,51,2,10
4,Email 5,7,6,17,1,5,2,57,0,9
5,Email 6,4,5,1,4,2,3,45,1,0
6,Email 7,5,3,1,3,2,1,37,0,0
7,Email 8,0,2,2,3,1,2,21,6,0
8,Email 9,2,2,3,0,0,1,18,0,0
9,Email 10,4,4,35,0,1,0,49,1,16
10,Email 11,22,14,2,9,2,2,104,0,2
11,Email 12,33,28,27,11,10,12,173,6,12
12,Email 13,27,17,3,7,5,8,106,3,0
13,Email 14,4,5,7,1,5,1,37,1,3
14,Email 15,2,4,6,0,3,1,16,0,3
15,Email 16,6,2,1,0,2,0,36,3,1
16,Email 17,3,1,2,2,0,1,17,0,0
17,Email 18,36,21,6,14,7,17,194,25,5
18,Email 19,1,3,1,0,2,0,14,0,0
19,Email 20,3,4,11,0,4,2,32,1,5
20,Email 21,0,0,1,1,0,0,15,1,0
21,Email 22,5,1,13,2,3,1,36,2,5
22,Email 23,0,3,6,0,5,0,30,0,2
23,Email 24,4,0,1,0,2,1,15,1,0
24,Email 25,0,0,1,0,4,0,10,0,0
25,Email 26,12,53,2,14,18,14,287,0,2
26,Email 27,5,4,1,1,4,4,51,0,1
27,Email 28,1,1,2,0,1,0,14,1,0
28,Email 29,18,14,2,3,1,5,87,3,1
29,Email 30,9,11,47,2,3,11,83,2,22
30,Email 31,6,0,1,0,1,7,28,0,0
31,Email 32,0,1,1,0,0,0,8,0,0
32,Email 33,21,14,43,22,9,6,191,15,19
33,Email 34,7,8,10,0,1,0,50,0,4
34,Email 35,6,6,4,0,1,0,39,0,1
35,Email 36,3,2,1,0,1,1,25,1,0
36,Email 37,11,6,7,5,4,1,71,4,5
37,Email 38,5,1,2,1,1,0,19,1,0
38,Email 39,7,2,1,3,1,3,27,1,1
39,Email 40,8,4,1,2,4,1,38,6,0
40,Email 41,2,3,1,5,1,0,45,0,0
41,Email 42,5,5,8,2,2,0,41,1,4
42,Email 43,4,1,1,0,0,0,23,2,0
43,Email 44,2,8,20,4,5,2,57,7,10
44,Email 45,7,8,3,7,6,0,48,3,1
45,Email 46,7,7,2,7,5,5,61,8,1
46,Email 47,4,0,1,0,4,0,21,0,0
47,Email 48,16,13,4,0,13,3,91,14,0
48,Email 49,13,9,3,2,6,3,48,3,0
49,Email 50,2,6,1,1,3,0,56,0,0
50,Email 51,5,5,1,1,2,2,23,0,3
51,Email 52,3,3,1,1,0,3,37,2,0
52,Email 53,10,8,1,1,6,9,52,7,0
53,Email 54,1,1,1,2,0,1,52,0,0
54,Email 55,60,38,7,17,23,11,278,17,0
55,Email 56,0,1,2,0,1,0,13,1,0
56,Email 57,0,5,2,0,1,0,12,0,2
57,Email 58,2,3,1,2,1,0,17,6,0
58,Email 59,0,1,6,2,1,0,21,0,2
59,Email 60,0,0,1,1,0,0,5,0,0
60,Email 61,0,4,2,0,1,1,22,2,0
61,Email 62,0,1,1,0,4,1,15,4,1
62,Email 63,5,4,8,4,5,1,46,1,1
63,Email 64,0,1,8,0,1,0,13,0,3
64,Email 65,1,5,2,0,0,3,65,4,0
65,Email 66,16,7,1,2,5,2,52,1,1
66,Email 67,0,0,1,0,1,0,3,0,0
67,Email 68,11,10,15,6,7,6,80,0,11
